url,Error,domain,ads,imgratio,inlinks,wot,pageloadtime,outlinks,misspelled,contact,cookie,brokenlinks,responsive,lastmod,langcount,email,sitemap,help,redirected
"""http://www.viewizard.com/SG/""",Field NA,"""com""",0,0,0,"[83, 9]",0,0,0,0,1,0,0,"""2017-08-11T18:18:13""",1,0,0,0,"""http://www.viewizard.com/"""
"""http://www.newsoftwares.net/folderlock""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.atompark.com/""",Field NA,"""com""",-1,-1,0,"[61, 5]",0,0,0,1,1,0,1,"""2017-08-11T18:27:06""",1,1,0,0,"""https://www.atompark.com/"""
"""http://www.effetech.com/aps/""",Field NA,"""com""",0,0,0,"[50, 5]",0,0,0,0,1,0,0,"""2009-07-04T01:26:13""",1,0,0,1,Field NA
"""http://www.toplang.com/passworddoor.htm""",Field NA,"""com""",0,-1,0,"""NA""",0,0,0,1,1,0,0,"""2017-08-11T18:27:01""",1,0,0,1,Field NA
"""http://leithauserresearch.com/psp.html""",Field NA,"""com""",0,0,0,"[94, 12]",-1,0,0,0,1,0,0,"""2016-02-16T17:34:24""",1,0,0,0,Field NA
"""http://www.clickok.co.uk/""",Field NA,"""com""",0,-1,0,"""NA""",0,0,0,1,1,0,0,"""2017-02-22T17:31:24""",1,0,0,1,"""http://www.kalbashir.com/"""
"""http://www.angelfire.com/apes/ppsplus1/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.esmarttools.com/""",Field NA,"""com""",0,0,0,"""NA""",0,0,0,1,1,0,0,"""2017-08-11T18:30:25""",1,0,1,1,Field NA
"""http://www.softstack.com/1clicklock.html""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://sullage.www9.50megs.com/""",Field NA,"""com""",0,0,0,"[70, 20]",0,0,0,0,1,0,0,"""2000-12-21T15:40:12""",1,0,0,0,Field NA
"""http://www.compelson.com/pofi.htm""",Field NA,"""com""",0,0,0,"[89, 32]",0,0,0,1,0,-1,"""Info not NA""","""2017-08-11T17:19:12""",1,0,0,0,"""http://www.mobiledit.com/"""
"""http://passwordtools.com/webpsw/""",Field NA,"""com""",0,0,0,"[60, 2]",0,0,0,0,0,0,0,"""2017-08-11T18:34:49""",1,1,1,0,"""http://passwordtools.com/webpsw/default.asp"""
"""http://www.softheap.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.godex.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.mark.vcn.com/password/""",Field NA,"""com""",0,0,0,"[66, 9]",0,0,0,0,1,0,0,"""2009-11-08T21:04:53""",1,0,0,0,Field NA
"""http://www.winability.com/folderguard/""",Field NA,"""com""",0,0,0,"[90, 47]",0,0,0,0,1,0,1,"""1970-01-01T00:00:00""",1,0,0,0,Field NA
"""http://www.softforyou.com/""",Field NA,"""com""",0,0,0,"[42, 8]",0,0,0,1,1,0,0,"""2013-11-14T13:20:42""",1,1,1,0,Field NA
"""http://www.modemlockdown.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.akidthaine.com/""",Field NA,"""com""",0,-1,0,"[60, 14]",0,0,0,0,1,0,0,"""2013-02-01T22:27:35""",1,0,0,0,Field NA
"""http://www.devicode.com/products/kidsplorer""",Field NA,"""com""",0,0,0,"[66, 8]",0,0,0,1,1,0,0,"""2017-08-11T18:37:24""",1,1,0,0,Field NA
"""http://www.redhandsecurity.com/""",Field NA,"""com""",0,0,0,"[61, 4]",0,0,0,0,1,0,0,"""2014-06-29T12:58:25""",1,0,0,0,Field NA
"""http://www.internettimer.net/""",Field NA,"""net""",0,1,0,"[70, 14]",-1,0,0,0,1,0,"""Info not NA""","""2017-08-11T18:41:07""",1,0,0,0,Field NA
"""http://www.allowblock.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.timesupkidz.com/""",Field NA,"""com""",0,0,0,"[71, 6]",0,0,0,0,0,0,0,"""2017-08-11T18:41:56""",1,0,0,0,Field NA
