url,genre,domain,ads,imgratio,inlinks,wot,pageloadtime,misspelled,hyperlinks,cookie,brokenlinks,responsive,lastmod,langcount,outlinks,redirected
http://www.upi.com/Security_Terrorism/Analysis/2007/04/12/analysis_owning_the_keys_to_the_internet/,other,com,109,0.0737665533,0,"[90, 50]",+++,1,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",No,1,FALSE,09/10/2017 00:52:38,1,14,https://www.upi.com/Defense-News/
http://arxiv.org/abs/1404.6540,articles,org,12,0.0909090909,0,"[93, 53]",+++,0,"{""contact"": 1, ""email"": 1, ""sitemap"": 0, ""help"": 1}",Yes,1,Info not NA,20/05/2015 13:46:32,1,6,https://arxiv.org/abs/1404.6540
http://arxiv.org/abs/1008.2147,articles,org,13,0.0909090909,0,"[93, 53]",112,0,"{""contact"": 1, ""email"": 1, ""sitemap"": 0, ""help"": 1}",Yes,1,Info not NA,29/05/2013 19:51:30,1,7,https://arxiv.org/abs/1008.2147
http://www.empireonline.com/reviews/ReviewComplete.asp?FID=134964,articles,com,12,0.4057022232,0,"[93, 52]",68,39,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,21,FALSE,06/09/2017 21:17:25,1,11,http://www.empireonline.com/movies/halloween-2/review/
http://www.google.com/corporate/software_principles.html,other,com,19,0.9746039582,2,"[94, 69]",119,24,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",No,5,TRUE,04/08/2017 04:00:00,1,17,https://www.google.com/about/
http://www.ewido.net/en/,shop,com,34,1,0,"[94, 63]",+++,42,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,121,TRUE,06/10/2017 11:18:02,1,22,https://www.avg.com/en-ww/homepage
http://news.bbc.co.uk/1/hi/sci/tech/743082.stm,articles,uk,11,0.9987935243,0,NA,140,0,"{""contact"": 0, ""email"": 1, ""sitemap"": 0, ""help"": 1}",Yes,66,FALSE,15/08/2017 10:00:32,1,7,Field NA
https://twitter.com/greenstreetweet/status/790629392921821185/photo/1,articles,com,15,0.6720551875,0,NA,47,159,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,28,FALSE,20/08/2017 19:38:35,44,11,Field NA
http://www.dreadcentral.com/news/34203/directors-cut-rob-zombies-halloween-ready-go,articles,com,77,0.1433069501,0,"[89, 45]",43,5,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,19,TRUE,06/09/2017 21:32:47,1,13,http://www.dreadcentral.com/news/34203/umbrella-welcomes-you-in-latest-resident-evil-retribution-viral/
http://www.ic3.gov/default.aspx,help,gov,0,0.1,2,"[93, 59]",+++,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}",No,0,FALSE,28/09/2017 11:38:32,1,0,https://www.ic3.gov/default.aspx
https://books.google.com/books?id=TOR9SwAACAAJ,articles,in,54,0.2792533465,0,Error in binding req to urllib2,+++,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 1, ""help"": 0}",Yes,0,FALSE,08/10/2017 23:07:43,1,42,https://books.google.co.in/books?id=TOR9SwAACAAJ&redir_esc=y
